Flight_ID,Date,Route,Planned_Dep_Min,Delay_Min,Actual_Dep_Min
6E1000,2024-03-23,DEL-BOM,264,13.0,277.0
6E1001,2024-11-14,DEL-BLR,506,118.0,624.0
6E1002,2024-07-03,BLR-HYD,645,44.0,689.0
6E1003,2024-11-11,BOM-BLR,896,56.0,952.0
6E1004,2024-04-08,BOM-BLR,860,60.0,920.0
6E1005,2024-03-02,DEL-HYD,688,70.0,758.0
6E1006,2024-10-12,DEL-BLR,866,31.0,897.0
6E1007,2024-01-22,DEL-HYD,1122,91.0,1213.0
6E1008,2024-07-30,BOM-BLR,1053,87.0,1140.0
6E1009,2024-05-05,BOM-BLR,1314,65.0,1379.0
6E1010,2024-02-11,BOM-BLR,486,2.0,488.0
6E1011,2024-04-07,DEL-HYD,1429,56.0,1485.0
6E1012,2024-01-31,DEL-BLR,27,59.0,86.0
6E1013,2024-06-06,DEL-BOM,1169,99.0,1268.0
6E1014,2024-04-21,DEL-BOM,287,83.0,370.0
6E1015,2024-09-03,BOM-BLR,580,69.0,649.0
6E1016,2024-05-01,DEL-BLR,949,25.0,974.0
6E1017,2024-09-29,DEL-BLR,251,12.0,263.0
6E1018,2024-10-20,BLR-HYD,1185,39.0,1224.0
6E1019,2024-07-25,BLR-HYD,926,67.0,993.0
6E1020,2024-04-19,DEL-HYD,109,71.0,180.0
6E1021,2024-10-04,BLR-HYD,643,21.0,664.0
6E1022,2024-02-25,DEL-HYD,397,12.0,409.0
6E1023,2024-02-26,DEL-BOM,1294,30.0,1324.0
6E1024,2024-10-17,BOM-BLR,1211,41.0,1252.0
6E1025,2024-04-23,DEL-BLR,275,103.0,378.0
6E1026,2024-11-03,DEL-BOM,688,0.0,688.0
6E1027,2024-12-06,DEL-BOM,246,40.0,286.0
6E1028,2024-07-16,DEL-HYD,1347,70.0,1417.0
6E1029,2024-11-16,BOM-BLR,1041,11.0,1052.0
6E1030,2024-06-27,DEL-HYD,407,53.0,460.0
6E1031,2024-08-06,DEL-BOM,1434,37.0,1471.0
6E1032,2024-10-03,DEL-BLR,124,89.0,213.0
6E1033,2024-01-16,BLR-HYD,1343,55.0,1398.0
6E1034,2024-03-01,DEL-HYD,152,51.0,203.0
6E1035,2024-02-23,DEL-BOM,657,99.0,756.0
6E1036,2024-06-16,BLR-HYD,19,1.0,20.0
6E1037,2024-01-26,BLR-HYD,246,15.0,261.0
6E1038,2024-12-01,DEL-BOM,1413,79.0,1492.0
6E1039,2024-03-05,BOM-BLR,1370,19.0,1389.0
6E1040,2024-04-09,DEL-BOM,1226,86.0,1312.0
6E1041,2024-03-14,DEL-BLR,1032,62.0,1094.0
6E1042,2024-07-10,BLR-HYD,530,83.0,613.0
6E1043,2024-06-19,DEL-BLR,102,47.0,149.0
6E1044,2024-09-29,DEL-HYD,1269,5.0,1274.0
6E1045,2024-07-05,BLR-HYD,596,20.0,616.0
6E1046,2024-01-23,BOM-BLR,1342,87.0,1429.0
6E1047,2024-06-29,DEL-BOM,350,77.0,427.0
6E1048,2024-11-22,DEL-HYD,233,101.0,334.0
6E1049,2024-04-17,DEL-BLR,36,40.0,76.0
6E1050,2024-11-30,DEL-HYD,1368,73.0,1441.0
6E1051,2024-06-10,BOM-BLR,291,0.0,291.0
6E1052,2024-10-28,DEL-BOM,16,79.0,95.0
6E1053,2024-07-24,DEL-HYD,89,106.0,195.0
6E1054,2024-03-18,DEL-BLR,1371,20.0,1391.0
6E1055,2024-01-16,DEL-HYD,676,71.0,747.0
6E1056,2024-11-22,DEL-BOM,976,107.0,1083.0
6E1057,2024-04-05,DEL-HYD,252,98.0,350.0
6E1058,2024-05-26,DEL-BLR,816,105.0,921.0
6E1059,2024-01-02,DEL-BOM,183,68.0,251.0
6E1060,2024-01-10,BOM-BLR,289,4.0,293.0
6E1061,2024-05-04,BOM-BLR,760,37.0,797.0
6E1062,2024-03-21,BLR-HYD,1238,58.0,1296.0
6E1063,2024-05-19,DEL-HYD,157,100.0,257.0
6E1064,2024-11-21,DEL-BLR,922,20.0,942.0
6E1065,2024-05-29,DEL-HYD,690,89.0,779.0
6E1066,2024-10-14,DEL-BOM,392,43.0,435.0
6E1067,2024-12-26,BLR-HYD,1043,50.0,1093.0
6E1068,2024-12-05,DEL-BLR,430,99.0,529.0
6E1069,2024-05-08,DEL-HYD,996,87.0,1083.0
6E1070,2024-08-26,DEL-BLR,1004,61.0,1065.0
6E1071,2024-02-27,DEL-BOM,1091,84.0,1175.0
6E1072,2024-07-16,BLR-HYD,1100,77.0,1177.0
6E1073,2024-07-29,DEL-BLR,101,19.0,120.0
6E1074,2024-02-14,DEL-BOM,651,77.0,728.0
6E1075,2024-04-06,BOM-BLR,892,86.0,978.0
6E1076,2024-10-05,DEL-BLR,584,39.0,623.0
6E1077,2024-01-23,BLR-HYD,206,51.0,257.0
6E1078,2024-11-30,DEL-BLR,212,30.0,242.0
6E1079,2024-02-13,DEL-BLR,78,29.0,107.0
6E1080,2024-01-27,DEL-BOM,1136,97.0,1233.0
6E1081,2024-10-08,DEL-HYD,132,1.0,133.0
6E1082,2024-04-06,DEL-HYD,1220,44.0,1264.0
6E1083,2024-02-05,DEL-BLR,1048,11.0,1059.0
6E1084,2024-04-18,BLR-HYD,471,82.0,553.0
6E1085,2024-02-24,BLR-HYD,289,87.0,376.0
6E1086,2024-07-10,DEL-BOM,1279,8.0,1287.0
6E1087,2024-08-06,DEL-BLR,1229,7.0,1236.0
6E1088,2024-07-03,DEL-BLR,1006,6.0,1012.0
6E1089,2024-03-09,DEL-HYD,1091,42.0,1133.0
6E1090,2024-11-12,DEL-BOM,1238,55.0,1293.0
6E1091,2024-05-09,BOM-BLR,633,44.0,677.0
6E1092,2024-02-24,BLR-HYD,421,47.0,468.0
6E1093,2024-04-06,BLR-HYD,557,56.0,613.0
6E1094,2024-12-01,DEL-BLR,580,81.0,661.0
6E1095,2024-03-27,DEL-BOM,538,90.0,628.0
6E1096,2024-10-20,BOM-BLR,461,115.0,576.0
6E1097,2024-04-28,BLR-HYD,1005,86.0,1091.0
6E1098,2024-07-26,DEL-BOM,300,86.0,386.0
6E1099,2024-11-29,BOM-BLR,1311,35.0,1346.0
6E1100,2024-06-02,DEL-BLR,1025,85.0,1110.0
6E1101,2024-02-04,DEL-HYD,1043,66.0,1109.0
6E1102,2024-03-19,BLR-HYD,953,70.0,1023.0
6E1103,2024-03-07,BLR-HYD,985,48.0,1033.0
6E1104,2024-12-08,BOM-BLR,805,56.0,861.0
6E1105,2024-02-03,DEL-HYD,256,17.0,273.0
6E1106,2024-04-06,DEL-BOM,452,99.0,551.0
6E1107,2024-06-17,DEL-BLR,437,78.0,515.0
6E1108,2024-06-17,DEL-BOM,397,33.0,430.0
6E1109,2024-05-30,BOM-BLR,1176,79.0,1255.0
6E1110,2024-03-11,BLR-HYD,648,56.0,704.0
6E1111,2024-01-03,BLR-HYD,221,78.0,299.0
6E1112,2024-11-09,DEL-BOM,135,78.0,213.0
6E1113,2024-02-01,DEL-BLR,625,95.0,720.0
6E1114,2024-10-13,BOM-BLR,775,113.0,888.0
6E1115,2024-03-22,DEL-BLR,1302,42.0,1344.0
6E1116,2024-02-12,BOM-BLR,584,22.0,606.0
6E1117,2024-04-14,DEL-BLR,484,76.0,560.0
6E1118,2024-01-01,DEL-BOM,1268,13.0,1281.0
6E1119,2024-03-01,DEL-HYD,1041,120.0,1161.0
6E1120,2024-09-26,BOM-BLR,876,15.0,891.0
6E1121,2024-06-28,DEL-BOM,1166,103.0,1269.0
6E1122,2024-08-11,BLR-HYD,500,37.0,537.0
6E1123,2024-01-06,BLR-HYD,92,36.0,128.0
6E1124,2024-04-12,DEL-BLR,1406,67.0,1473.0
6E1125,2024-01-10,BLR-HYD,278,53.0,331.0
6E1126,2024-03-11,DEL-HYD,981,35.0,1016.0
6E1127,2024-03-30,BOM-BLR,620,70.0,690.0
6E1128,2024-08-13,DEL-BLR,1311,114.0,1425.0
6E1129,2024-06-06,BOM-BLR,475,25.0,500.0
6E1130,2024-08-15,BOM-BLR,881,7.0,888.0
6E1131,2024-05-05,DEL-BOM,671,113.0,784.0
6E1132,2024-07-27,BLR-HYD,800,57.0,857.0
6E1133,2024-04-06,BOM-BLR,170,57.0,227.0
6E1134,2024-03-14,DEL-HYD,371,82.0,453.0
6E1135,2024-04-24,DEL-HYD,731,65.0,796.0
6E1136,2024-07-09,BLR-HYD,1416,94.0,1510.0
6E1137,2024-06-18,BLR-HYD,184,10.0,194.0
6E1138,2024-11-02,DEL-BLR,938,119.0,1057.0
6E1139,2024-07-22,DEL-BLR,834,97.0,931.0
6E1140,2024-02-25,DEL-BLR,208,87.0,295.0
6E1141,2024-07-26,BLR-HYD,993,2.0,995.0
6E1142,2024-02-10,BOM-BLR,799,1.0,800.0
6E1143,2024-02-01,DEL-BOM,1352,22.0,1374.0
6E1144,2024-01-15,DEL-BLR,1384,0.0,1384.0
6E1145,2024-03-02,DEL-BOM,368,1.0,369.0
6E1146,2024-06-03,DEL-HYD,1129,56.0,1185.0
6E1147,2024-10-10,BLR-HYD,723,27.0,750.0
