Crew_ID,Date,Assigned_Flight,Duty_Type
C0276,2024-06-14,6E18679,Standby
C0534,2024-04-26,6E11278,Flying
C0183,2024-09-19,6E6713,Flying
C0864,2024-12-26,6E15259,Flying
C0412,2024-12-08,6E10593,Off
C1055,2024-03-06,6E8480,Flying
C0215,2024-10-15,6E8114,Flying
C0979,2024-12-03,6E8684,Flying
C0352,2024-04-30,6E3957,Standby
C0927,2024-12-29,6E15543,Flying
C1195,2024-05-14,6E12311,Flying
C0232,2024-11-10,6E18586,Flying
C1098,2024-08-03,6E1036,Flying
C0253,2024-09-23,6E7535,Flying
C0905,2024-05-19,6E7539,Flying
C1098,2024-05-25,6E17334,Flying
C0434,2024-04-30,6E14848,Standby
C0741,2024-09-13,6E10389,Flying
C0724,2024-10-09,6E8393,Flying
C0084,2024-09-03,6E17501,Standby
C0712,2024-03-13,6E3200,Flying
C0998,2024-11-27,6E16783,Flying
C0217,2024-11-15,6E14471,Flying
C0511,2024-02-18,6E8229,Flying
C0258,2024-07-26,6E7241,Standby
C0229,2024-09-06,6E11899,Flying
C0298,2024-06-11,6E4023,Standby
C0618,2024-06-17,6E7024,Flying
C0505,2024-02-04,6E17725,Flying
C0651,2024-03-20,6E7433,Flying
C0440,2024-10-30,6E8150,Flying
C0173,2024-06-18,6E9936,Flying
C0941,2024-08-27,6E18700,Flying
C0669,2024-12-01,6E12972,Flying
C0162,2024-09-18,6E17063,Standby
C0607,2024-12-21,6E8218,Flying
C0858,2024-12-16,6E17328,Flying
C0020,2024-04-20,6E18342,Flying
C1096,2024-04-01,6E10854,Flying
C0582,2024-10-17,6E6724,Flying
C0402,2024-09-29,6E11717,Flying
C0712,2024-06-23,6E15428,Flying
C0308,2024-10-12,6E3227,Standby
C0549,2024-08-31,6E11768,Standby
C1040,2024-01-09,6E1546,Flying
C0183,2024-10-05,6E12276,Flying
C0868,2024-02-14,6E9099,Flying
C1038,2024-03-05,6E12267,Flying
C0024,2024-05-19,6E16164,Flying
C0806,2024-12-02,6E12456,Flying
C0236,2024-06-22,6E7629,Flying
C0850,2024-06-09,6E14082,Flying
C0503,2024-05-07,6E12713,Off
C0255,2024-10-04,6E17150,Flying
C0377,2024-01-10,6E2365,Flying
C1133,2024-12-11,6E18745,Flying
C0767,2024-08-04,6E18730,Flying
C0422,2024-05-18,6E3657,Flying
C0131,2024-08-22,6E10708,Standby
C0944,2024-11-02,6E5077,Flying
C1169,2024-01-28,6E9635,Standby
C0219,2024-10-09,6E15277,Standby
C0197,2024-09-03,6E4080,Flying
C0595,2024-05-29,6E12398,Flying
C0783,2024-06-01,6E15878,Flying
C0618,2024-10-01,6E10411,Flying
C0696,2024-09-19,6E3764,Flying
C0844,2024-09-05,6E18736,Flying
C1102,2024-05-16,6E4634,Flying
C1119,2024-04-27,6E6777,Flying
C0389,2024-07-16,6E8638,Flying
C0515,2024-11-13,6E11429,Flying
C0047,2024-11-12,6E12401,Standby
C1182,2024-06-22,6E8207,Standby
C0751,2024-09-01,6E5878,Off
C0271,2024-12-07,6E15147,Flying
C0422,2024-01-09,6E2890,Flying
C1052,2024-01-22,6E1164,Flying
C0087,2024-11-04,6E4275,Flying
C0687,2024-10-03,6E17724,Standby
C0719,2024-09-11,6E4708,Flying
C0862,2024-03-25,6E10555,Flying
C0758,2024-02-22,6E5217,Standby
C0054,2024-03-02,6E7321,Flying
C0083,2024-07-04,6E10515,Standby
C0544,2024-03-01,6E16111,Standby
C0385,2024-06-11,6E7688,Flying
C0523,2024-12-08,6E16322,Flying
C0223,2024-03-22,6E13317,Flying
C0286,2024-02-28,6E3169,Standby
C0824,2024-12-08,6E18267,Flying
C0444,2024-09-13,6E14479,Standby
C0089,2024-06-20,6E17356,Flying
C1185,2024-02-27,6E5778,Flying
C0767,2024-07-30,6E16414,Flying
C1182,2024-06-30,6E3535,Flying
C0269,2024-07-26,6E14398,Flying
C0908,2024-10-07,6E1630,Flying
C1056,2024-01-07,6E9184,Flying
C0087,2024-12-01,6E6010,Flying
C0093,2024-04-27,6E13341,Flying
C0802,2024-02-04,6E14334,Standby
C0595,2024-04-04,6E1424,Flying
C1113,2024-01-01,6E6967,Standby
C0154,2024-08-28,6E3302,Standby
C0896,2024-08-06,6E4083,Flying
C1182,2024-10-19,6E10626,Flying
C0890,2024-04-22,6E17397,Standby
C0418,2024-05-12,6E4060,Off
C0253,2024-01-29,6E2116,Flying
C0768,2024-05-30,6E2419,Flying
C0159,2024-08-10,6E3484,Flying
C0312,2024-03-18,6E13558,Flying
C0799,2024-05-04,6E8943,Flying
C0581,2024-11-26,6E16711,Flying
C0435,2024-11-16,6E4959,Off
C1006,2024-06-20,6E2624,Flying
C0265,2024-07-02,6E3786,Flying
C1032,2024-01-20,6E15411,Flying
C1018,2024-11-17,6E16035,Flying
C0107,2024-02-02,6E2157,Flying
C0932,2024-10-27,6E5798,Flying
C0739,2024-06-21,6E10210,Flying
C1093,2024-07-27,6E1520,Flying
C0440,2024-07-16,6E3520,Flying
C1162,2024-09-24,6E4893,Flying
C0842,2024-07-25,6E17083,Standby
C0895,2024-11-07,6E6198,Flying
C0651,2024-11-18,6E4893,Flying
C0520,2024-12-06,6E10891,Standby
C1092,2024-08-14,6E6529,Flying
C0146,2024-12-29,6E10060,Standby
C0384,2024-02-12,6E4056,Flying
C0468,2024-03-31,6E7666,Standby
C0762,2024-01-17,6E9980,Flying
C0890,2024-08-15,6E12141,Flying
C0515,2024-08-10,6E5909,Flying
C0120,2024-04-16,6E2438,Flying
C0750,2024-06-24,6E15263,Flying
C0055,2024-08-08,6E5914,Flying
C1094,2024-12-05,6E9839,Flying
C0356,2024-10-20,6E8647,Off
C0774,2024-10-31,6E5313,Flying
C0912,2024-04-08,6E15308,Flying
C1009,2024-08-18,6E3932,Standby
C0962,2024-11-16,6E11798,Flying
C0218,2024-12-29,6E18570,Off
C0724,2024-11-01,6E1777,Flying
C0264,2024-01-13,6E11467,Standby
C0344,2024-12-12,6E7486,Flying
C0827,2024-05-10,6E18206,Standby
C0521,2024-07-30,6E3172,Flying
C1066,2024-01-28,6E3351,Standby
C1042,2024-11-21,6E5882,Flying
C0432,2024-10-28,6E18467,Flying
C0330,2024-05-16,6E3514,Flying
C0276,2024-10-27,6E13073,Flying
C0937,2024-06-09,6E11931,Standby
C0727,2024-01-04,6E9612,Off
C0747,2024-02-21,6E3925,Flying
C1172,2024-06-14,6E6073,Flying
C1074,2024-11-16,6E16495,Standby
C0133,2024-10-28,6E11398,Flying
C0700,2024-06-08,6E17418,Flying
C0987,2024-12-27,6E14309,Flying
C0585,2024-06-25,6E9630,Flying
C0811,2024-01-19,6E12992,Flying
C0105,2024-03-21,6E8320,Flying
C0292,2024-06-28,6E3919,Flying
C0232,2024-07-08,6E13654,Flying
C1125,2024-02-10,6E13653,Flying
C0259,2024-11-27,6E16874,Standby
C0957,2024-05-27,6E8950,Standby
C0112,2024-01-22,6E6140,Flying
C1069,2024-08-24,6E15905,Flying
C1181,2024-06-07,6E14990,Off
C0225,2024-04-07,6E5877,Flying
C0904,2024-03-27,6E14406,Flying
C1097,2024-04-17,6E17230,Flying
C0918,2024-11-07,6E1494,Flying
C0581,2024-10-01,6E9761,Flying
C1196,2024-04-22,6E14743,Flying
C0736,2024-11-17,6E6650,Flying
C0561,2024-11-17,6E18639,Flying
C1003,2024-10-20,6E8567,Off
C0887,2024-02-08,6E11674,Flying
C0380,2024-08-16,6E1783,Standby
C0457,2024-01-28,6E12009,Off
C0084,2024-01-11,6E9808,Flying
C0359,2024-08-21,6E11918,Flying
C0058,2024-04-02,6E3055,Flying
C0684,2024-01-21,6E14404,Flying
C0437,2024-06-05,6E5610,Flying
C1014,2024-04-02,6E5555,Flying
C0874,2024-02-11,6E10660,Standby
C0764,2024-05-19,6E10970,Off
C0840,2024-01-02,6E3662,Flying
C0649,2024-02-09,6E14360,Flying
C0518,2024-04-11,6E4757,Flying
C0787,2024-11-14,6E4655,Flying
C0086,2024-06-09,6E11343,Flying
C0879,2024-12-30,6E5055,Standby
C1172,2024-09-22,6E4743,Off
C0980,2024-01-16,6E10090,Flying
C0667,2024-09-20,6E3479,Off
C1159,2024-02-16,6E9930,Standby
C1142,2024-06-22,6E11937,Flying
C0264,2024-09-16,6E6358,Flying
C0323,2024-04-01,6E10769,Flying
