Crew_ID,Date,Standby_Type,Utilized
C0547,2024-04-09,Airport,No
C0352,2024-11-11,Home,No
C0282,2024-01-03,Airport,No
C0905,2024-08-13,Home,No
C1008,2024-11-20,Home,No
C0900,2024-03-12,Home,No
C0221,2024-02-06,Airport,No
C0619,2024-03-16,Airport,Yes
C1032,2024-03-31,Home,Yes
C0547,2024-03-11,Home,Yes
C0766,2024-12-28,Home,Yes
C0260,2024-02-16,Airport,Yes
C0441,2024-07-29,Airport,No
C0920,2024-08-19,Home,No
C1009,2024-04-23,Home,No
C0551,2024-07-28,Home,No
C0624,2024-12-21,Home,Yes
C0358,2024-11-23,Airport,Yes
C0070,2024-06-05,Airport,No
C0501,2024-09-30,Home,No
C0570,2024-11-20,Airport,No
C0012,2024-11-12,Airport,Yes
C0669,2024-05-05,Home,Yes
C0230,2024-06-17,Home,No
C0544,2024-06-01,Home,Yes
C0428,2024-11-16,Home,No
C0563,2024-08-24,Home,Yes
C1039,2024-03-15,Home,Yes
C0138,2024-07-24,Airport,Yes
C0125,2024-10-23,Airport,Yes
C0919,2024-06-25,Home,Yes
C0165,2024-02-16,Home,No
C0329,2024-11-21,Airport,Yes
C0465,2024-07-06,Home,No
C0291,2024-05-02,Home,No
C0658,2024-11-26,Home,Yes
C1161,2024-01-30,Home,Yes
C0937,2024-05-19,Home,No
C1146,2024-05-22,Airport,No
C0725,2024-05-21,Home,No
C0575,2024-05-15,Airport,No
C0965,2024-04-21,Airport,No
C0189,2024-10-30,Airport,Yes
C0365,2024-10-10,Home,Yes
C1181,2024-12-05,Airport,Yes
C0955,2024-02-18,Home,No
C0577,2024-01-26,Home,No
C0794,2024-10-23,Home,No
C0916,2024-12-25,Airport,No
C0200,2024-06-16,Home,Yes
C0564,2024-09-09,Home,Yes
C0112,2024-01-23,Airport,Yes
C1052,2024-07-07,Airport,Yes
C0216,2024-01-15,Home,Yes
C0951,2024-01-01,Home,Yes
C0358,2024-07-28,Home,No
C0631,2024-02-18,Airport,No
C0556,2024-05-04,Home,Yes
C0173,2024-11-17,Airport,Yes
C1006,2024-02-19,Airport,Yes
C0073,2024-11-28,Airport,No
C0190,2024-01-14,Home,No
C0552,2024-07-19,Home,No
C0929,2024-01-26,Airport,No
C0836,2024-10-13,Airport,Yes
C0173,2024-08-03,Airport,Yes
C0584,2024-10-16,Home,Yes
C0412,2024-10-24,Airport,No
C0933,2024-11-20,Airport,No
C0492,2024-07-09,Home,No
C0632,2024-02-01,Airport,No
C0279,2024-07-31,Home,Yes
C0324,2024-08-25,Home,No
